Brand,Date,District,Engine_capacity,Engine_power,From_who,Fuel_type,Gear_type,Kilometer,Model,Model_year,Price,Title,Variant
BMW,15/02/2021,Kadıköy/Göztepe,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,23,5 Serisi,2020,885000,YENİ 2020 520i SPECIAL EDITION M SPORT HARMAN NAVİ VAKUM ISITMA BMW 5 Serisi 520i Special Edition M Sport,520i Special Edition M Sport
BMW,15/02/2021,Kadıköy/Göztepe,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,98994,1 Serisi,2014,222500,2014 BMW 116 İ JOY EDİTİON GERİ GÖRÜŞ BLUETOOTH STARTSTOP BMW 1 Serisi 116i Joy Edition,116i Joy Edition
BMW,15/02/2021,Kadıköy/Göztepe,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,45000,5 Serisi,2017,695000,2017 520i EXECUTIVE LUXURY NEXT 100 VAKUM HAYALET NAVİ HATASIZ BMW 5 Serisi 520i Executive Luxury Line,520i Executive Luxury Line
BMW,15/02/2021,Kadıköy/Göztepe,2501-3000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,227142,X6,2011,459000,2011 X6 35D XDRIVE 3.0 286 HP SUNROOF GENİŞEKRAN ISITMA ELK.BGJ BMW X6 35d xDrive,35d xDrive
BMW,15/02/2021,Kadıköy/Göztepe,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Otomatik Vites,120000,4 Serisi,2014,535000,BAYİ 2014 420d COUPE HEADUP NBT HARMANKARDON SUNROOF HAFIZA BMW 4 Serisi 420d M Sport,420d M Sport
BMW,15/02/2021,Kadıköy/Göztepe,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,159441,5 Serisi,2012,442500,2012 BMW 520D EXECUTIVE M SPORT KONFORKOLTUK SOĞUTMA VAKUM BMW 5 Serisi 520d M Sport,520d M Sport
Chevrolet,06/01/2021,Nurdağı/Nurdağı,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,250000,Epica,2011,96000,EMİR OTO DAN 2011 CHEVROLET EPİCA 2.0 D LT OTOMATİK SUNROOF HTSZ Chevrolet Epica 2.0 D LT,2.0 D LT
Fiat,15/02/2021,Sultanbeyli/TurgutReis,1301-1600 cc,Bilmiyorum,Galeriden,Benzin/LPG,Düz Vites,270000,Tipo,1998,34750,1998 MODEL TİPO KAPORTA BOYA KOMPLE YENİ Fiat Tipo 1.4 S,1.4 S
Fiat,15/02/2021,Gebze/Gebze,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Yarı Otomatik Vites,145000,Punto,2010,99750,KREDİYE UYGUN-PUNTO EVO-1.4 OTOMATİK DUALOGİC Fiat Punto EVO 1.4 Dynamic,EVO 1.4 Dynamic
Fiat,15/02/2021,Bağcılar/Bağcılar,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,280000,Egea,2016,112000,AKSA OTOMOTİVDEN 2016 FİAT EGEA 1.3 MULTİJET URBAN Fiat Egea 1.3 Multijet Urban,1.3 Multijet Urban
Fiat,15/02/2021,Akyurt/Akyurt,1300 cc ve altı,Bilmiyorum,Galeriden,Dizel,Düz Vites,276000,Albea,2005,55500,2005 MODEL 276 BİN KM AGIR BAKIMLARI YAPILMIŞ FIRSAT ARACI Fiat Albea 1.3 Multijet Active,1.3 Multijet Active
BMW,15/02/2021,Ümraniye/Ihlamurkuyu,1801-2000 cc,Bilmiyorum,Galeriden,Dizel,Yarı Otomatik Vites,215000,5 Serisi,2010,212000,2010 MODEL213 BİNDE SONRUFLU KAZASIZ TAKAS OLUR BMW 5 Serisi 520d Comfort,520d Comfort
BMW,15/02/2021,Beykoz/Beykoz,1301-1600 cc,Bilmiyorum,Galeriden,Benzin,Otomatik Vites,66000,5 Serisi,2018,649000,GARAGE 2018 BMW 520 I LUXURY LINE HATASIZ NAVİGASYON BAYİ BMW 5 Serisi 520i Luxury Line,520i Luxury Line
